2026-02-22 17:28:59,775 | ERROR | VoiceAgent | Error canceling appointment: No appointment found to cancel
2026-02-22 17:28:59,775 | ERROR | VoiceAgent | Error canceling appointment: No appointment found to cancel
2026-02-22 17:29:34,516 | ERROR | VoiceAgent | Error canceling appointment: No appointment found to cancel
2026-02-22 17:29:34,516 | ERROR | VoiceAgent | Error canceling appointment: No appointment found to cancel
2026-02-22 17:29:44,119 | ERROR | VoiceAgent | Error canceling appointment: No appointment found to cancel
2026-02-22 17:29:44,119 | ERROR | VoiceAgent | Error canceling appointment: No appointment found to cancel
2026-02-22 17:40:46,445 | ERROR | VoiceAgent | Error canceling appointment: No appointment found to cancel
2026-02-22 17:40:46,445 | ERROR | VoiceAgent | Error canceling appointment: No appointment found to cancel
2026-02-22 17:46:29,232 | ERROR | VoiceAgent | Error canceling appointment: No appointment found to cancel
2026-02-22 17:46:29,232 | ERROR | VoiceAgent | Error canceling appointment: No appointment found to cancel
2026-02-22 17:47:02,265 | ERROR | VoiceAgent | Error canceling appointment: No appointment found to cancel
2026-02-22 17:47:02,265 | ERROR | VoiceAgent | Error canceling appointment: No appointment found to cancel
